SectorID	SectorName	IndustryID	IndustryName	JobName	JobNumbers	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms	Synonyms
56	Administrative and Support and Waste Management and Remediation Services	561900	Other Support Services	"Sales Representatives, Services, All Other"	"9,670"										
44-45	Retail Trade	451100	"Sporting Goods, Hobby, and Musical Instrument Stores"	General and Operations Managers	"9,670"										
71	"Arts, Entertainment, and Recreation"	711100	Performing Arts Companies	Actors	"9,660"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	Carpenters	"9,650"										
42	Wholesale Trade	423700	"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	Light Truck or Delivery Services Drivers	"9,640"										
42	Wholesale Trade	423900	Miscellaneous Durable Goods Merchant Wholesalers	Customer Service Representatives	"9,640"										
61	"Educational Services (including private, state, and local government schools)"	611700	"Educational Support Services (including private, state, and local government schools)"	Instructional Coordinators	"9,620"										
31-33	Manufacturing	325900	Other Chemical Product and Preparation Manufacturing	"Mixing and Blending Machine Setters, Operators, and Tenders"	"9,620"										
48-49	Transportation and Warehousing	482100	Rail Transportation	Rail-Track Laying and Maintenance Equipment Operators	"9,620"										
81	"Other Services (except Federal, State, and Local Government)"	812100	Personal Care Services	"Personal Care and Service Workers, All Other"	"9,600"										
53	Real Estate and Rental and Leasing	532100	Automotive Equipment Rental and Leasing	First-Line Supervisors of Retail Sales Workers	"9,580"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621500	Medical and Diagnostic Laboratories	Customer Service Representatives	"9,560"										
53	Real Estate and Rental and Leasing	532200	Consumer Goods Rental	Customer Service Representatives	"9,550"										
42	Wholesale Trade	423700	"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	"Shipping, Receiving, and Traffic Clerks"	"9,550"										
31-33	Manufacturing	332700	"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"	"Office Clerks, General"	"9,540"										
21	Mining	212300	Nonmetallic Mineral Mining and Quarrying	Operating Engineers and Other Construction Equipment Operators	"9,530"										
72	Accommodation and Food Services	722400	Drinking Places (Alcoholic Beverages)	Dining Room and Cafeteria Attendants and Bartender Helpers	"9,520"										
44-45	Retail Trade	444200	Lawn and Garden Equipment and Supplies Stores	Outdoor Power Equipment and Other Small Engine Mechanics	"9,500"										
61	"Educational Services (including private, state, and local government schools)"	611600	"Other Schools and Instruction (including private, state, and local government schools)"	Fitness Trainers and Aerobics Instructors	"9,500"										
48-49	Transportation and Warehousing	481100	Scheduled Air Transportation	First-Line Supervisors of Office and Administrative Support Workers	"9,490"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621500	Medical and Diagnostic Laboratories	Couriers and Messengers	"9,430"										
51	Information	511100	"Newspaper, Periodical, Book, and Directory Publishers"	General and Operations Managers	"9,430"										
22	Utilities	221100	"Electric Power Generation, Transmission and Distribution"	First-Line Supervisors of Production and Operating Workers	"9,400"										
81	"Other Services (except Federal, State, and Local Government)"	813400	Civic and Social Organizations	Customer Service Representatives	"9,390"										
56	Administrative and Support and Waste Management and Remediation Services	561600	Investigation and Security Services	"Office Clerks, General"	"9,390"										
51	Information	519100	Other Information Services	Customer Service Representatives	"9,390"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	Nonfarm Animal Caretakers	"9,360"										
31-33	Manufacturing	325200	"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing"	Chemical Equipment Operators and Tenders	"9,350"										
31-33	Manufacturing	331500	Foundries	Foundry Mold and Coremakers	"9,280"										
42	Wholesale Trade	424300	"Apparel, Piece Goods, and Notions Merchant Wholesalers"	"Shipping, Receiving, and Traffic Clerks"	"9,260"										
31-33	Manufacturing	334100	Computer and Peripheral Equipment Manufacturing	Electrical and Electronic Equipment Assemblers	"9,260"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	General and Operations Managers	"9,260"										
31-33	Manufacturing	325400	Pharmaceutical and Medicine Manufacturing	First-Line Supervisors of Production and Operating Workers	"9,260"										
42	Wholesale Trade	423100	Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers	"Shipping, Receiving, and Traffic Clerks"	"9,250"										
56	Administrative and Support and Waste Management and Remediation Services	561900	Other Support Services	Packaging and Filling Machine Operators and Tenders	"9,250"										
53	Real Estate and Rental and Leasing	531200	Offices of Real Estate Agents and Brokers	"Property, Real Estate, and Community Association Managers"	"9,220"										
31-33	Manufacturing	337100	Household and Institutional Furniture and Kitchen Cabinet Manufacturing	First-Line Supervisors of Production and Operating Workers	"9,200"										
48-49	Transportation and Warehousing	488300	Support Activities for Water Transportation	Industrial Truck and Tractor Operators	"9,160"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	Cabinetmakers and Bench Carpenters	"9,140"										
48-49	Transportation and Warehousing	484200	Specialized Freight Trucking	First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators	"9,140"										
44-45	Retail Trade	443100	Electronics and Appliance Stores	"Office Clerks, General"	"9,130"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622200	"Psychiatric and Substance Abuse Hospitals (including private, state, and local government hospitals)"	Licensed Practical and Licensed Vocational Nurses	"9,130"										
81	"Other Services (except Federal, State, and Local Government)"	812200	Death Care Services	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"9,120"										
44-45	Retail Trade	444200	Lawn and Garden Equipment and Supplies Stores	"Laborers and Freight, Stock, and Material Movers, Hand"	"9,120"										
31-33	Manufacturing	333500	Metalworking Machinery Manufacturing	"Computer-Controlled Machine Tool Operators, Metal and Plastic"	"9,070"										
42	Wholesale Trade	424200	Drugs and Druggists' Sundries Merchant Wholesalers	Customer Service Representatives	"9,060"										
52	Finance and Insurance	523100	Securities and Commodity Contracts Intermediation and Brokerage	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"9,060"										
44-45	Retail Trade	451100	"Sporting Goods, Hobby, and Musical Instrument Stores"	Bicycle Repairers	"9,050"										
44-45	Retail Trade	448100	Clothing Stores	"Shipping, Receiving, and Traffic Clerks"	"9,040"										
21	Mining	211100	Oil and Gas Extraction	"Geoscientists, Except Hydrologists and Geographers"	"9,020"										
44-45	Retail Trade	448100	Clothing Stores	General and Operations Managers	"9,000"										
21	Mining	213100	Support Activities for Mining	Construction Laborers	"8,990"										
48-49	Transportation and Warehousing	488500	Freight Transportation Arrangement	First-Line Supervisors of Office and Administrative Support Workers	"8,970"										
21	Mining	213100	Support Activities for Mining	General and Operations Managers	"8,970"										
31-33	Manufacturing	322200	Converted Paper Product Manufacturing	Industrial Truck and Tractor Operators	"8,960"										
42	Wholesale Trade	424200	Drugs and Druggists' Sundries Merchant Wholesalers	Stock Clerks and Order Fillers	"8,960"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	Self-Enrichment Education Teachers	"8,960"										
21	Mining	213100	Support Activities for Mining	Operating Engineers and Other Construction Equipment Operators	"8,960"										
21	Mining	211100	Oil and Gas Extraction	"Roustabouts, Oil and Gas"	"8,940"										
56	Administrative and Support and Waste Management and Remediation Services	561600	Investigation and Security Services	Customer Service Representatives	"8,930"										
44-45	Retail Trade	453300	Used Merchandise Stores	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,930"										
71	"Arts, Entertainment, and Recreation"	711200	Spectator Sports	Nonfarm Animal Caretakers	"8,890"										
48-49	Transportation and Warehousing	492100	Couriers and Express Delivery Services	Couriers and Messengers	"8,860"										
44-45	Retail Trade	448200	Shoe Stores	Cashiers	"8,830"										
56	Administrative and Support and Waste Management and Remediation Services	561200	Facilities Support Services	"Maintenance and Repair Workers, General"	"8,820"										
71	"Arts, Entertainment, and Recreation"	713100	Amusement Parks and Arcades	"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"	"8,800"										
44-45	Retail Trade	454300	Direct Selling Establishments	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	"8,790"										
81	"Other Services (except Federal, State, and Local Government)"	812200	Death Care Services	Funeral Service Managers	"8,770"										
42	Wholesale Trade	423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	Stock Clerks and Order Fillers	"8,770"										
44-45	Retail Trade	454300	Direct Selling Establishments	Customer Service Representatives	"8,760"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	General and Operations Managers	"8,750"										
31-33	Manufacturing	314100	Textile Furnishings Mills	Sewing Machine Operators	"8,700"										
51	Information	518200	"Data Processing, Hosting, and Related Services"	"Software Developers, Systems Software"	"8,690"										
44-45	Retail Trade	441200	Other Motor Vehicle Dealers	Motorboat Mechanics and Service Technicians	"8,690"										
53	Real Estate and Rental and Leasing	532400	Commercial and Industrial Machinery and Equipment Rental and Leasing	Heavy and Tractor-Trailer Truck Drivers	"8,680"										
31-33	Manufacturing	312100	Beverage Manufacturing	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,650"										
31-33	Manufacturing	331100	Iron and Steel Mills and Ferroalloy Manufacturing	"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"	"8,650"										
48-49	Transportation and Warehousing	484200	Specialized Freight Trucking	General and Operations Managers	"8,650"										
31-33	Manufacturing	311800	Bakeries and Tortilla Manufacturing	First-Line Supervisors of Production and Operating Workers	"8,640"										
31-33	Manufacturing	333600	"Engine, Turbine, and Power Transmission Equipment Manufacturing"	Team Assemblers	"8,640"										
23	Construction	237300	"Highway, Street, and Bridge Construction"	Construction Managers	"8,640"										
31-33	Manufacturing	336200	Motor Vehicle Body and Trailer Manufacturing	"Assemblers and Fabricators, All Other"	"8,640"										
48-49	Transportation and Warehousing	481100	Scheduled Air Transportation	Customer Service Representatives	"8,640"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,630"										
53	Real Estate and Rental and Leasing	532400	Commercial and Industrial Machinery and Equipment Rental and Leasing	"Mobile Heavy Equipment Mechanics, Except Engines"	"8,620"										
48-49	Transportation and Warehousing	485300	Taxi and Limousine Service	"Dispatchers, Except Police, Fire, and Ambulance"	"8,620"										
22	Utilities	221200	Natural Gas Distribution	"Control and Valve Installers and Repairers, Except Mechanical Door"	"8,600"										
44-45	Retail Trade	448100	Clothing Stores	Merchandise Displayers and Window Trimmers	"8,580"										
31-33	Manufacturing	321200	"Veneer, Plywood, and Engineered Wood Product Manufacturing"	"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"	"8,580"										
31-33	Manufacturing	332900	Other Fabricated Metal Product Manufacturing	"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"	"8,570"										
52	Finance and Insurance	523100	Securities and Commodity Contracts Intermediation and Brokerage	First-Line Supervisors of Office and Administrative Support Workers	"8,570"										
31-33	Manufacturing	333900	Other General Purpose Machinery Manufacturing	First-Line Supervisors of Production and Operating Workers	"8,550"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	General and Operations Managers	"8,550"										
31-33	Manufacturing	325600	"Soap, Cleaning Compound, and Toilet Preparation Manufacturing"	"Mixing and Blending Machine Setters, Operators, and Tenders"	"8,520"										
44-45	Retail Trade	453200	"Office Supplies, Stationery, and Gift Stores"	Stock Clerks and Order Fillers	"8,460"										
31-33	Manufacturing	322200	Converted Paper Product Manufacturing	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,440"										
42	Wholesale Trade	424900	Miscellaneous Nondurable Goods Merchant Wholesalers	"Bookkeeping, Accounting, and Auditing Clerks"	"8,440"										
48-49	Transportation and Warehousing	483200	Inland Water Transportation	"Captains, Mates, and Pilots of Water Vessels"	"8,430"										
51	Information	511100	"Newspaper, Periodical, Book, and Directory Publishers"	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"8,430"										
61	"Educational Services (including private, state, and local government schools)"	611600	"Other Schools and Instruction (including private, state, and local government schools)"	General and Operations Managers	"8,420"										
42	Wholesale Trade	424100	Paper and Paper Product Merchant Wholesalers	Customer Service Representatives	"8,420"										
51	Information	519100	Other Information Services	"Sales Representatives, Services, All Other"	"8,410"										
44-45	Retail Trade	451200	Book Stores and News Dealers	First-Line Supervisors of Retail Sales Workers	"8,400"										
42	Wholesale Trade	423700	"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	General and Operations Managers	"8,400"										
71	"Arts, Entertainment, and Recreation"	713100	Amusement Parks and Arcades	Retail Salespersons	"8,370"										
42	Wholesale Trade	423200	Furniture and Home Furnishing Merchant Wholesalers	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,370"										
42	Wholesale Trade	423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	"Bookkeeping, Accounting, and Auditing Clerks"	"8,370"										
31-33	Manufacturing	339100	Medical Equipment and Supplies Manufacturing	Ophthalmic Laboratory Technicians	"8,370"										
42	Wholesale Trade	424700	Petroleum and Petroleum Products Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"8,370"										
52	Finance and Insurance	522300	Activities Related to Credit Intermediation	"Bookkeeping, Accounting, and Auditing Clerks"	"8,350"										
42	Wholesale Trade	423600	Household Appliances and Electrical and Electronic Goods Merchant Wholesalers	"Office Clerks, General"	"8,340"										
81	"Other Services (except Federal, State, and Local Government)"	811200	Electronic and Precision Equipment Repair and Maintenance	Medical Equipment Repairers	"8,330"										
42	Wholesale Trade	424100	Paper and Paper Product Merchant Wholesalers	Stock Clerks and Order Fillers	"8,300"										
61	"Educational Services (including private, state, and local government schools)"	611600	"Other Schools and Instruction (including private, state, and local government schools)"	Adult Basic and Secondary Education and Literacy Teachers and Instructors	"8,290"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	"Office Clerks, General"	"8,280"										
81	"Other Services (except Federal, State, and Local Government)"	812200	Death Care Services	"Office Clerks, General"	"8,270"										
21	Mining	211100	Oil and Gas Extraction	Wellhead Pumpers	"8,260"										
31-33	Manufacturing	339900	Other Miscellaneous Manufacturing	Graphic Designers	"8,260"										
56	Administrative and Support and Waste Management and Remediation Services	561900	Other Support Services	"Office Clerks, General"	"8,230"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	Musicians and Singers	"8,230"										
42	Wholesale Trade	423900	Miscellaneous Durable Goods Merchant Wholesalers	Stock Clerks and Order Fillers	"8,180"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	"Preschool Teachers, Except Special Education"	"8,160"										
31-33	Manufacturing	325400	Pharmaceutical and Medicine Manufacturing	"Medical Scientists, Except Epidemiologists"	"8,140"										
31-33	Manufacturing	332700	"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"	Helpers--Production Workers	"8,130"										
42	Wholesale Trade	423900	Miscellaneous Durable Goods Merchant Wholesalers	Industrial Truck and Tractor Operators	"8,130"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"8,120"										
48-49	Transportation and Warehousing	488400	Support Activities for Road Transportation	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,100"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	"Office Clerks, General"	"8,090"										
42	Wholesale Trade	424600	Chemical and Allied Products Merchant Wholesalers	Heavy and Tractor-Trailer Truck Drivers	"8,080"										
22	Utilities	221200	Natural Gas Distribution	Customer Service Representatives	"8,080"										
31-33	Manufacturing	337900	Other Furniture Related Product Manufacturing	Team Assemblers	"8,080"										
53	Real Estate and Rental and Leasing	532400	Commercial and Industrial Machinery and Equipment Rental and Leasing	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,060"										
44-45	Retail Trade	441200	Other Motor Vehicle Dealers	Recreational Vehicle Service Technicians	"8,060"										
44-45	Retail Trade	454100	Electronic Shopping and Mail-Order Houses	First-Line Supervisors of Office and Administrative Support Workers	"8,030"										
53	Real Estate and Rental and Leasing	532200	Consumer Goods Rental	Retail Salespersons	"8,010"										
42	Wholesale Trade	424100	Paper and Paper Product Merchant Wholesalers	"Laborers and Freight, Stock, and Material Movers, Hand"	"8,000"										
51	Information	511100	"Newspaper, Periodical, Book, and Directory Publishers"	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"7,980"										
31-33	Manufacturing	322200	Converted Paper Product Manufacturing	"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"	"7,970"										
44-45	Retail Trade	442100	Furniture Stores	"Office Clerks, General"	"7,920"										
22	Utilities	221100	"Electric Power Generation, Transmission and Distribution"	General and Operations Managers	"7,900"										
31-33	Manufacturing	333600	"Engine, Turbine, and Power Transmission Equipment Manufacturing"	Engine and Other Machine Assemblers	"7,890"										
56	Administrative and Support and Waste Management and Remediation Services	561600	Investigation and Security Services	"Dispatchers, Except Police, Fire, and Ambulance"	"7,880"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	623900	Other Residential Care Facilities	Personal Care Aides	"7,880"										
42	Wholesale Trade	424600	Chemical and Allied Products Merchant Wholesalers	"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"	"7,870"										
11	"Agriculture, Forestry, Fishing and Hunting"	113300	Logging	Heavy and Tractor-Trailer Truck Drivers	"7,870"										
42	Wholesale Trade	423700	"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	"Office Clerks, General"	"7,860"										
21	Mining	211100	Oil and Gas Extraction	Accountants and Auditors	"7,860"										
42	Wholesale Trade	423900	Miscellaneous Durable Goods Merchant Wholesalers	"Bookkeeping, Accounting, and Auditing Clerks"	"7,850"										
31-33	Manufacturing	311800	Bakeries and Tortilla Manufacturing	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	"7,830"										
42	Wholesale Trade	423700	"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	"7,820"										
71	"Arts, Entertainment, and Recreation"	711300	"Promoters of Performing Arts, Sports, and Similar Events"	"Laborers and Freight, Stock, and Material Movers, Hand"	"7,820"										
42	Wholesale Trade	424600	Chemical and Allied Products Merchant Wholesalers	"Laborers and Freight, Stock, and Material Movers, Hand"	"7,800"										
44-45	Retail Trade	444200	Lawn and Garden Equipment and Supplies Stores	First-Line Supervisors of Retail Sales Workers	"7,800"										
31-33	Manufacturing	325200	"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing"	Chemical Plant and System Operators	"7,800"										
71	"Arts, Entertainment, and Recreation"	711400	"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures"	"Agents and Business Managers of Artists, Performers, and Athletes"	"7,790"										
51	Information	511200	Software Publishers	Market Research Analysts and Marketing Specialists	"7,770"										
42	Wholesale Trade	423300	Lumber and Other Construction Materials Merchant Wholesalers	Industrial Truck and Tractor Operators	"7,750"										
48-49	Transportation and Warehousing	488500	Freight Transportation Arrangement	"Shipping, Receiving, and Traffic Clerks"	"7,740"										
53	Real Estate and Rental and Leasing	532300	General Rental Centers	Counter and Rental Clerks	"7,740"										
81	"Other Services (except Federal, State, and Local Government)"	813200	Grantmaking and Giving Services	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"7,710"										
51	Information	512100	Motion Picture and Video Industries	Audio and Video Equipment Technicians	"7,710"										
48-49	Transportation and Warehousing	491100	Postal Service (federal government)	"Maintenance and Repair Workers, General"	"7,710"										
81	"Other Services (except Federal, State, and Local Government)"	812300	Drycleaning and Laundry Services	Light Truck or Delivery Services Drivers	"7,690"										
44-45	Retail Trade	444200	Lawn and Garden Equipment and Supplies Stores	Landscaping and Groundskeeping Workers	"7,690"										
22	Utilities	221100	"Electric Power Generation, Transmission and Distribution"	"Control and Valve Installers and Repairers, Except Mechanical Door"	"7,660"										
31-33	Manufacturing	311200	Grain and Oilseed Milling	Packaging and Filling Machine Operators and Tenders	"7,660"										
44-45	Retail Trade	448100	Clothing Stores	"Tailors, Dressmakers, and Custom Sewers"	"7,610"										
56	Administrative and Support and Waste Management and Remediation Services	561900	Other Support Services	General and Operations Managers	"7,610"										
22	Utilities	221100	"Electric Power Generation, Transmission and Distribution"	"Meter Readers, Utilities"	"7,590"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	621900	Other Ambulatory Health Care Services	Medical and Clinical Laboratory Technicians	"7,590"										
31-33	Manufacturing	333100	"Agriculture, Construction, and Mining Machinery Manufacturing"	First-Line Supervisors of Production and Operating Workers	"7,580"										
81	"Other Services (except Federal, State, and Local Government)"	811300	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	"Office Clerks, General"	"7,570"										
48-49	Transportation and Warehousing	488500	Freight Transportation Arrangement	General and Operations Managers	"7,530"										
48-49	Transportation and Warehousing	484200	Specialized Freight Trucking	"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"	"7,530"										
31-33	Manufacturing	313300	Textile and Fabric Finishing and Fabric Coating Mills	Textile Bleaching and Dyeing Machine Operators and Tenders	"7,530"										
51	Information	518200	"Data Processing, Hosting, and Related Services"	Computer Programmers	"7,500"										
31-33	Manufacturing	339100	Medical Equipment and Supplies Manufacturing	Medical Appliance Technicians	"7,490"										
31-33	Manufacturing	321900	Other Wood Product Manufacturing	First-Line Supervisors of Production and Operating Workers	"7,490"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622300	"Specialty (except Psychiatric and Substance Abuse) Hospitals (including private, state, and local government hospitals)"	Licensed Practical and Licensed Vocational Nurses	"7,490"										
51	Information	517200	Wireless Telecommunications Carriers (except Satellite)	"Telecommunications Equipment Installers and Repairers, Except Line Installers"	"7,490"										
42	Wholesale Trade	424300	"Apparel, Piece Goods, and Notions Merchant Wholesalers"	"Packers and Packagers, Hand"	"7,480"										
53	Real Estate and Rental and Leasing	532100	Automotive Equipment Rental and Leasing	Customer Service Representatives	"7,480"										
51	Information	512100	Motion Picture and Video Industries	General and Operations Managers	"7,480"										
51	Information	517900	Other Telecommunications	Customer Service Representatives	"7,480"										
31-33	Manufacturing	325400	Pharmaceutical and Medicine Manufacturing	Chemical Equipment Operators and Tenders	"7,480"										
31-33	Manufacturing	333100	"Agriculture, Construction, and Mining Machinery Manufacturing"	"Inspectors, Testers, Sorters, Samplers, and Weighers"	"7,470"										
71	"Arts, Entertainment, and Recreation"	712100	"Museums, Historical Sites, and Similar Institutions"	Security Guards	"7,470"										
31-33	Manufacturing	312100	Beverage Manufacturing	Driver/Sales Workers	"7,460"										
51	Information	519100	Other Information Services	"Library Assistants, Clerical"	"7,450"										
31-33	Manufacturing	333600	"Engine, Turbine, and Power Transmission Equipment Manufacturing"	Machinists	"7,390"										
31-33	Manufacturing	333200	Industrial Machinery Manufacturing	Machinists	"7,360"										
71	"Arts, Entertainment, and Recreation"	711200	Spectator Sports	Security Guards	"7,360"										
81	"Other Services (except Federal, State, and Local Government)"	811300	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	"First-Line Supervisors of Mechanics, Installers, and Repairers"	"7,350"										
42	Wholesale Trade	424500	Farm Product Raw Material Merchant Wholesalers	"Farmworkers, Farm, Ranch, and Aquacultural Animals"	"7,350"										
31-33	Manufacturing	339900	Other Miscellaneous Manufacturing	Customer Service Representatives	"7,340"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	"Business Operations Specialists, All Other"	"7,340"										
31-33	Manufacturing	332800	"Coating, Engraving, Heat Treating, and Allied Activities"	First-Line Supervisors of Production and Operating Workers	"7,310"										
31-33	Manufacturing	322200	Converted Paper Product Manufacturing	"Packers and Packagers, Hand"	"7,300"										
48-49	Transportation and Warehousing	492100	Couriers and Express Delivery Services	Customer Service Representatives	"7,300"										
31-33	Manufacturing	331500	Foundries	"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic"	"7,300"										
71	"Arts, Entertainment, and Recreation"	713200	Gambling Industries	Cashiers	"7,290"										
31-33	Manufacturing	339100	Medical Equipment and Supplies Manufacturing	Industrial Engineers	"7,290"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	Public Relations Specialists	"7,280"										
81	"Other Services (except Federal, State, and Local Government)"	811300	Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance	"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"	"7,260"										
56	Administrative and Support and Waste Management and Remediation Services	562900	Remediation and Other Waste Management Services	"Laborers and Freight, Stock, and Material Movers, Hand"	"7,250"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624300	Vocational Rehabilitation Services	"Office Clerks, General"	"7,250"										
42	Wholesale Trade	423300	Lumber and Other Construction Materials Merchant Wholesalers	General and Operations Managers	"7,230"										
31-33	Manufacturing	322200	Converted Paper Product Manufacturing	Team Assemblers	"7,210"										
31-33	Manufacturing	339900	Other Miscellaneous Manufacturing	General and Operations Managers	"7,200"										
44-45	Retail Trade	454300	Direct Selling Establishments	Retail Salespersons	"7,190"										
31-33	Manufacturing	312100	Beverage Manufacturing	Retail Salespersons	"7,180"										
31-33	Manufacturing	324100	Petroleum and Coal Products Manufacturing	First-Line Supervisors of Production and Operating Workers	"7,180"										
56	Administrative and Support and Waste Management and Remediation Services	562900	Remediation and Other Waste Management Services	Construction Laborers	"7,180"										
81	"Other Services (except Federal, State, and Local Government)"	813300	Social Advocacy Organizations	Personal Care Aides	"7,160"										
44-45	Retail Trade	442200	Home Furnishings Stores	Carpet Installers	"7,150"										
31-33	Manufacturing	311900	Other Food Manufacturing	"Laborers and Freight, Stock, and Material Movers, Hand"	"7,140"										
71	"Arts, Entertainment, and Recreation"	713100	Amusement Parks and Arcades	"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"	"7,130"										
53	Real Estate and Rental and Leasing	532100	Automotive Equipment Rental and Leasing	Taxi Drivers and Chauffeurs	"7,130"										
44-45	Retail Trade	454200	Vending Machine Operators	Driver/Sales Workers	"7,130"										
44-45	Retail Trade	454100	Electronic Shopping and Mail-Order Houses	General and Operations Managers	"7,100"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	622200	"Psychiatric and Substance Abuse Hospitals (including private, state, and local government hospitals)"	Nursing Assistants	"7,100"										
62	"Health Care and Social Assistance (including private, state, and local government hospitals)"	624400	Child Day Care Services	"Kindergarten Teachers, Except Special Education"	"7,080"										
51	Information	518200	"Data Processing, Hosting, and Related Services"	Computer and Information Systems Managers	"7,080"										
48-49	Transportation and Warehousing	488500	Freight Transportation Arrangement	"Bookkeeping, Accounting, and Auditing Clerks"	"7,080"										
31-33	Manufacturing	332800	"Coating, Engraving, Heat Treating, and Allied Activities"	Helpers--Production Workers	"7,070"										
31-33	Manufacturing	332700	"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing"	"Shipping, Receiving, and Traffic Clerks"	"7,070"										
56	Administrative and Support and Waste Management and Remediation Services	562900	Remediation and Other Waste Management Services	Heavy and Tractor-Trailer Truck Drivers	"7,050"										
44-45	Retail Trade	453900	Other Miscellaneous Store Retailers	"Office Clerks, General"	"7,040"										
44-45	Retail Trade	454300	Direct Selling Establishments	"Office Clerks, General"	"7,030"										
31-33	Manufacturing	332300	Architectural and Structural Metals Manufacturing	"Office Clerks, General"	"7,020"										
31-33	Manufacturing	339900	Other Miscellaneous Manufacturing	"Shipping, Receiving, and Traffic Clerks"	"7,010"										
53	Real Estate and Rental and Leasing	531200	Offices of Real Estate Agents and Brokers	Executive Secretaries and Executive Administrative Assistants	"7,000"										
81	"Other Services (except Federal, State, and Local Government)"	813100	Religious Organizations	Childcare Workers	"6,990"										
